序号,日期,游戏ID,游戏名称,包月产品名称,包月金额,渠道ID,渠道名称,首订用户数,续订用户数,退订用户数,出账用户数,出账金额
230,20200423,93578,消灭星星全新版,星星豪华大礼包,10,83010011,腾讯应用宝,0,0,1,0,0.0
231,20200423,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,1,0,5,50.0
232,20200423,93578,消灭星星全新版,星星豪华大礼包,10,80011042,三星,0,1,0,0,0.0
233,20200423,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,0,0,2,20.0
234,20200424,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,2,0,3,30.0
235,20200424,93578,消灭星星全新版,星星豪华大礼包,10,83010011,腾讯应用宝,0,0,0,1,10.0
236,20200424,,,星星豪华大礼包,10,,,0,0,0,0,0.0
237,20200424,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,0,0,1,10.0
238,20200424,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,5,0,0,0.0
239,20200425,93578,消灭星星全新版,星星豪华大礼包,10,83010011,腾讯应用宝,0,1,0,0,0.0
240,20200425,93578,消灭星星全新版,星星豪华大礼包,10,83010020,金立游戏大厅,0,0,0,1,10.0
241,20200425,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,1,0,0,0.0
242,20200425,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,0,0,2,20.0
243,20200425,,,星星豪华大礼包,10,,,0,0,0,0,0.0
244,20200425,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
245,20200425,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,3,0,1,10.0
246,20200426,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
247,20200426,93578,消灭星星全新版,星星豪华大礼包,10,83010020,金立游戏大厅,0,1,0,0,0.0
248,20200426,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,0,0,1,10.0
249,20200426,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,2,0,3,30.0
250,20200426,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,1,0,1,10.0
251,20200426,,,星星豪华大礼包,10,,,0,0,0,0,0.0
252,20200427,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,3,0,0,0.0
253,20200427,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,1,0,0,0.0
254,20200427,,,星星豪华大礼包,10,,,1,0,0,1,10.0
255,20200427,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,1,0,0,0.0
256,20200427,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,1,0,0.0
257,20200428,,,星星豪华大礼包,10,,,0,1,0,0,0.0
258,20200429,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,0,1,0,0.0
259,20200429,,,星星豪华大礼包,10,,,0,0,2,0,0.0
260,20200429,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,0,0,1,10.0
261,20200429,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,1,0,0.0
262,20200430,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,0,1,1,10.0
263,20200430,,,星星豪华大礼包,10,,,0,0,0,0,0.0
264,20200430,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
265,20200430,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,0,1,2,20.0
266,20200430,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,1,0,1,10.0
